,label,msisdn,aon,daily_decr30,daily_decr90,rental30,rental90,last_rech_date_ma,last_rech_date_da,last_rech_amt_ma,cnt_ma_rech30,fr_ma_rech30,sumamnt_ma_rech30,medianamnt_ma_rech30,medianmarechprebal30,cnt_ma_rech90,fr_ma_rech90,sumamnt_ma_rech90,medianamnt_ma_rech90,medianmarechprebal90,cnt_da_rech30,fr_da_rech30,cnt_da_rech90,fr_da_rech90,cnt_loans30,amnt_loans30,maxamnt_loans30,medianamnt_loans30,cnt_loans90,amnt_loans90,maxamnt_loans90,medianamnt_loans90,payback30,payback90,pcircle,pdate
11,1,32893I82732,1511,12.896,12.896,790.44,790.44,8,0,1539,2,5,2312,1156,16.83,2,5,2312,1156,16.83,0,0,0,0,2,12,6,0,2,12,6,0,4,4,UPW,12-06-16
12,0,82417I90848,82,65.16666667,65.16666667,326.2,326.2,17,0,7526,2,0,9065,4532.5,489,2,0,9065,4532.5,489,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,20-06-16
13,1,11435I89236,154,227.041,227.041,240.41,240.41,2,0,1547,4,2,19086,4773.5,63,7,30,28979,1720,92,0,0,0,0,4,24,6,0,4,24,6,0,1.333333333,1.333333333,UPW,29-06-16
14,1,66580I97601,887,55.90933333,55.90933333,208.8,208.8,2,0,1539,5,5,7703,1539,20.9,7,5,8649,1539,22.9,0,0,0,0,5,30,6,0,5,30,6,0,2.6,2.6,UPW,16-06-16
15,1,63139I70377,707,8919,10317.35,399.25,2453.78,3,0,770,3,6,3079,770,66,8,10,19185,1539,52.5,0,0,0,0,3,18,6,0,7,42,6,0,5,4.166666667,UPW,03-08-16
16,0,24075I89239,1037,12,12,1216.8,1216.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,24-06-16
17,0,82053I85350,1583,1000,1000,1000.8,1087.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,04-07-16
18,1,37204I84452,929,10.688,10.688,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,16-06-16
19,1,44217I90455,832,14.4,14.4,1660.96,1660.96,1,0,2309,3,26,4618,1539,88.8,3,26,4618,1539,88.8,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,08-06-16
20,1,19611I90842,450,48.935,48.935,726.3,726.3,1,0,1539,2,8,9539,4769.5,12,2,8,9539,4769.5,12,0,0,0,0,2,12,6,0,2,12,6,0,5,5,UPW,15-06-16
21,1,67813I90589,100,769.614,777.46,1050.57,1167.3,6,0,770,5,20,8867,770,168,8,31,14380,771.5,52,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,03-07-16
22,0,75522I70784,378,514.6933333,515.2,56.26,58.2,2,0,773,1,0,773,773,542,2,64,1546,773,283.5,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,01-07-16
23,1,61590I95202,463,1540,1541,969.12,969.12,4,0,770,1,0,770,770,43,2,66,1543,771.5,26.5,0,0,0,0,1,6,6,0,2,12,6,0,0,42,UPW,08-08-16
24,1,95027I90841,857,58.02333333,58.02333333,479.44,479.44,2,0,1539,4,12,6164,1539,115.5,4,12,6164,1539,115.5,0,0,0,0,4,24,6,0,4,24,6,0,6,6,UPW,26-06-16
25,0,59645I82735,966,291.5633333,291.5633333,-2020.09,-2020.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,23-06-16
26,1,59102I70370,656,63.25,63.25,2855.7,2855.7,1,0,770,15,1,12674,770,254.6,19,1,14566,770,134.6,0,0,0,0,5,30,6,0,5,30,6,0,1.8,1.8,UPW,15-06-16
27,1,44692I90581,1179,3703.272,3712.84,340.96,376.42,2,0,770,6,5,5395,771.5,38.5,9,5,7114,773,53.5,0,0,0,0,4,24,6,0,5,30,6,0,6,6,UPW,06-07-16
28,0,49345I90842,871,505.6,508,9276.68,10569.17,16,0,770,1,0,770,770,77.9,1,0,770,770,77.9,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,09-07-16
29,1,64703I85330,1610,6688.559333,6705.26,3553.83,3653.05,1,0,4048,9,1,32149,2309,41.72,10,1,36489,3178.5,85.72,0,0,0,0,8,48,6,0,8,48,6,0,1.375,1.666666667,UPW,02-07-16
30,1,12658I88689,67,16.16666667,16.16666667,962.6,962.6,3,0,1539,2,12,3086,1543,226.5,2,12,3086,1543,226.5,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,10-06-16
31,1,70130I90843,-42,8.864333333,8.864333333,780.71,780.71,780195.4971,0,773,2,10,946,473,1.8,3,32,2666,773,0.3,0,0,0,0,1,6,6,1,1,6,6,1,0,0,UPW,07-06-16
32,1,37891I90581,2171,160.371,160.371,4110.48,4110.48,2,0,770,3,11,3082,773,26.9,4,15,3855,773,16.4,0,0,0,0,3,18,6,0,3,18,6,0,10,10,UPW,27-06-16
33,1,78260I85349,191,5.266666667,5.266666667,1741.5,1741.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,10-06-16
34,1,75630I88698,817,3680,4435.5,299.69,879.95,1,0,1539,1,0,1539,1539,9,7,7,10781,1539,41,0,0,0,0,1,6,6,0,2,12,6,0,0,1,UPW,11-08-16
35,1,51478I70375,234,82.95,82.95,474,474,11,0,1539,4,6,6156,1539,19.6,6,1,9636,1539,113.1,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,30-06-16
36,1,42449I82734,433,10.963,10.963,1967.83,1967.83,3,0,773,2,18,2320,1160,20.5,2,18,2320,1160,20.5,0,0,0,0,2,12,6,0.5,2,12,6,0.5,11,11,UPW,19-06-16
37,1,41249I82731,1578,38740.076,38935.57,4662.68,5416.68,1,0,4048,10,2,29475,2309,45.24,20,4,50839,2309,62.74,0,0,0,0,6,54,12,0,15,108,12,0,2,1.875,UPW,26-07-16
38,1,01210I90840,725,9740,16337.04,299.96,1457.22,15,63,5787,1,0,5787,5787,146.5,6,8,21009,4048,131,0,0,1,0,3,24,12,1,4,30,12,0.5,7.5,19.75,UPW,14-08-16
39,1,11418I90845,785,35.99866667,35.99866667,359.1,359.1,4,0,1539,2,4,3078,1539,29.53,2,4,3078,1539,29.53,0,0,0,0,2,12,6,0,2,12,6,0,5,5,UPW,14-06-16
40,1,26411I70786,450,1148.213333,1148.8,1474,1498.54,4,0,773,1,0,773,773,13.4,1,0,773,773,13.4,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,02-07-16
41,1,28150I82731,875,47.873,47.873,188.16,188.16,1,0,770,7,4,4802,770,20,9,4,5148,770,20,0,0,0,0,6,36,6,0,6,36,6,0,3.666666667,3.666666667,UPW,21-06-16
42,1,85580I70784,545,113.75,113.75,-110.75,-110.75,6,0,4048,2,9,12048,6024,45,2,9,12048,6024,45,0,0,0,0,2,12,6,0,2,12,6,0,12,12,UPW,25-06-16
43,1,62149I84450,596,63.93333333,63.93333333,248.08,248.08,7,0,2309,3,5,4629,1547,32.6,4,5,5576,1247,21.1,0,0,0,0,4,24,6,0,4,24,6,0,2.666666667,2.666666667,UPW,28-06-16
44,1,27123I95200,395,120.9156667,120.9156667,690.69,690.69,2,0,1539,9,1,17503,2309,149.6,9,1,17503,2309,149.6,0,0,0,0,8,48,6,0,8,48,6,0,1.571428571,1.571428571,UPW,11-06-16
45,1,82895I85329,277,15617,17973.55,3638.78,7819.71,6,0,2309,3,5,7796,2309,29,6,2,12413,1924,56,0,0,0,0,2,18,12,0,4,30,12,0,0,7,UPW,10-08-16
46,1,04140I90843,486,7803.9,7839,7567.34,8452.94,3,0,770,4,9,4618,1154.5,45.17,9,8,10020,773,64.67,0,0,0,0,3,18,6,0,4,24,6,0,4,5.25,UPW,27-07-16
47,0,23884I90845,837,4676.666667,4676.666667,4545.22,4545.22,5,0,1539,6,0,6158,770,54.17,6,0,6158,770,54.17,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,23-07-16
48,1,32783I90843,815,15.157,15.157,1805.73,1805.73,3,0,1539,1,0,1539,1539,110,2,57,5606,2803,80,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,23-06-16
49,1,03746I91197,406,8160,9604.75,599.66,689.66,19,0,4048,2,1,8096,4048,48,3,50,12144,4048,64,0,0,0,0,1,12,12,0,1,12,12,0,0,0,UPW,16-08-16
50,1,55570I82737,445,504.784,504.784,1869.56,1869.56,3,0,8000,6,3,50000,8000,297.665,9,3,69993,8000,188,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,28-06-16
51,1,99293I70785,402,1750,1807.37,99.56,189.56,5,0,770,1,0,770,770,57,2,67,6557,3278.5,32,0,0,0,0,1,12,12,0,2,18,12,0,0,40.5,UPW,15-08-16
52,1,02367I91190,294,128.766,128.766,1076.9,1076.9,1,0,1539,11,1,13861,1539,44.6,11,1,13861,1539,44.6,0,0,0,0,10,60,6,0,10,60,6,0,2.727272727,2.727272727,UPW,22-06-16
53,1,02534I84456,99,10.44666667,10.44666667,286.64,286.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,02-06-16
54,1,09561I70374,635,5.5,5.5,75.9,75.9,559958.7534,0,173,0,0,0,0,0,1,0,173,173,94.47,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,05-06-16
55,1,53152I70789,317,9463,10921.38,1000.65,2820.48,7,0,1539,5,2,7695,1539,169,16,3,24632,1539,54.5,0,0,0,0,1,12,12,0,2,18,12,0,0,2.5,UPW,02-08-16
56,1,93567I90843,319,23346.53333,23368,8960.17,13696.37,1,0,1539,13,1,20777,1539,29,15,1,23089,1539,29,0,0,0,0,12,72,6,0,13,78,6,0,3.25,7.461538462,UPW,28-07-16
57,1,63277I70786,125,56.648,56.648,1088.64,1088.64,2,0,773,9,1,7893,773,17,9,1,7893,773,17,0,0,0,0,3,18,6,0,3,18,6,0,9,9,UPW,24-06-16
58,1,28146I70780,133,8.4,8.4,231.6,231.6,3,0,773,2,1,1546,773,72.9,2,1,1546,773,72.9,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,02-06-16
59,1,81496I84451,1629,2203.866667,2206,5144.43,5530.51,4,0,1539,1,0,1539,1539,4,2,32,3086,1543,30.5,0,0,0,0,3,18,6,0,3,18,6,0,13.5,13.5,UPW,04-07-16
60,1,06969I98087,1268,6165,7493.63,3391.3,3225.1,42,0,8000,0,0,0,0,0,3,11,10312,1539,20.81,0,0,0,0,0,0,0,0,1,6,6,0,0,9.5,UPW,05-08-16
61,1,42023I90584,1065,28786.428,28905.57,7038.67,6914.65,4,0,8000,5,13,34309,8000,4079.28,9,0,68309,8000,71.28,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,18-07-16
62,1,60754I89235,875,1619.048,1620.44,336.18,387.9,11,0,1924,1,0,1924,1924,347.6,1,0,1924,1924,347.6,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,04-07-16
63,1,82828I89230,668,2970,2970,200.13,200.13,2,0,1539,1,0,1539,1539,331,1,0,1539,1539,331,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,18-08-16
64,1,03894I88648,301,2151.061,2157.29,3807.43,3831.43,1,0,1539,4,8,6156,1539,36.5,4,8,6156,1539,36.5,0,0,0,0,4,24,6,0,4,24,6,0,6.75,6.75,UPW,03-07-16
65,1,30220I82737,1540,11783.99867,11921.14,4007.93,5234.33,1,0,4048,8,3,28709,3178.5,113.67,11,6,35647,2309,275.17,0,0,0,0,6,54,12,0,6,54,12,0,2.166666667,2.166666667,UPW,16-07-16
66,1,63268I91197,929670.836,4130.729333,4151.88,6139.79,6529.55,22,0,3178,1,0,3178,3178,541,2,18,6356,3178,271,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,29-07-16
67,1,74769I70786,248,11256.551,11315.51,3047.87,4273.67,3,0,1539,7,2,7697,770,85,9,2,10009,773,85,0,0,0,0,5,30,6,0,6,36,6,0,9.8,9.8,UPW,27-07-16
68,1,49949I89234,1828,10865.094,10932.63,11031.41,13497.17,1,0,1539,4,4,6926,1539,33.87,8,7,17545,1539,37.87,0,0,0,0,5,42,12,0,8,60,12,0,4.25,4.285714286,UPW,16-07-16
69,1,81127I90840,735,14355.164,14413.88,7169.4,7169.4,10,0,8000,1,0,8000,8000,29.23,2,44,20500,10250,45.23,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,21-07-16
70,1,94373I82733,1303,11848,13603.07,5333.64,6234.57,1,0,773,7,0,6931,770,23.12,16,3,20976,1539,22.12,0,0,0,0,6,36,6,0,13,78,6,0,4.8,2.923076923,UPW,02-08-16
71,1,31077I82733,1118,9127,18806.52,200.13,3862.08,8,0,1539,1,0,1539,1539,189,5,18,27086,8000,79,0,0,0,0,2,18,12,0.5,5,48,12,0,0,5.25,UPW,10-08-16
72,1,83861I90586,1589,22.521,22.521,522.93,522.93,4,0,2320,2,2,4040,2020,41.44,2,2,4040,2020,41.44,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,03-06-16
73,1,41026I70787,138,67.67933333,67.67933333,242,242,6,0,2309,3,7,5387,1539,478,3,7,5387,1539,478,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,22-06-16
74,1,83435I90849,660,1012.166667,1014.6,1028.53,1147.28,19,0,1539,1,0,1539,1539,40.5,1,0,1539,1539,40.5,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,05-07-16
75,0,81561I84453,169,-2.166666667,-2.166666667,135.72,135.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,13-06-16
76,1,71277I70373,677,107.063,107.063,626.56,626.56,5,0,4048,2,27,5587,2793.5,1248.5,3,41,7307,1720,95,0,0,0,0,3,18,6,0,3,18,6,0,2.5,2.5,UPW,11-06-16
77,0,30687I90848,621,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,02-07-16
78,1,98388I70377,383,1219.782,1238.74,-889.14,-919.8,22,0,3178,1,0,3178,3178,0.5,1,0,3178,3178,0.5,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,01-07-16
79,0,27460I90847,766,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,15-06-16
80,1,23396I82731,318,21792.24,21826.8,11795.13,13025.69,2,0,3178,6,2,22547,3613,95,7,2,24267,3178,39.5,0,0,0,0,5,42,12,0,6,48,12,0,4.8,4.8,UPW,16-07-16
81,1,06164I82730,1122,3391,3567.07,96.56,215.66,14,0,773,1,0,773,773,0.3,3,3,5594,773,2.3,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,01-08-16
82,1,71528I89238,951,1888.532667,1914.94,2066.15,2373.08,9,0,770,6,4,5389,770,16.2,10,4,8478,770,28.2,0,0,0,0,2,12,6,0,3,18,6,0,0,6.5,UPW,13-07-16
83,1,80866I70789,96,79.54166667,79.54166667,460.75,460.75,5,0,5787,3,11,9635,1924,40,3,11,9635,1924,40,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,25-06-16
84,1,47449I90846,649,2894.42,2908.63,997.13,1395.63,5,0,1539,3,5,4617,1539,70,5,3,6163,1539,70,0,0,0,0,3,18,6,0,3,18,6,0,5,5,UPW,10-07-16
85,1,98163I82731,104,18519.5,18597.78,6702.35,10517.93,1,0,3178,9,3,12515,770,130.5,18,1,19463,771.5,60,0,0,0,0,2,12,6,1,2,12,6,1,1.5,1.5,UPW,16-08-16
86,1,24229I95204,140,33.897,33.897,99.09,99.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,09-06-16
87,1,69244I93683,469,10119.985,10165.97,1820.49,2843.49,1,0,770,12,4,10778,770,30,18,3,14816,770,26.75,0,0,0,0,8,48,6,0,10,60,6,0,3.142857143,3.3,UPW,15-07-16
88,1,47180I95203,268,9136.494,9158.78,689.12,807.7,11,0,1539,1,0,1539,1539,22,5,32,20093,3193,22,0,0,0,0,2,12,6,0,3,18,6,0,0,7.5,UPW,11-07-16
89,1,90392I90847,291,33.82,33.82,1106.4,1106.4,3,0,770,4,3,3086,771.5,53.5,4,3,3086,771.5,53.5,0,0,0,0,4,24,6,0,4,24,6,0,3.333333333,3.333333333,UPW,30-06-16
90,1,14958I90588,1756,78.12,78.12,295.6,295.6,3,0,1539,6,3,7110,1243,25.2,6,3,7110,1243,25.2,0,0,0,0,7,42,6,0,7,42,6,0,3.166666667,3.166666667,UPW,20-06-16
91,1,49700I89235,493,8674.67,10711.49,4622.56,5008.54,4,0,770,8,4,6160,770,179.365,14,1,10789,770,79.03,0,0,0,0,4,24,6,0,7,42,6,0,2.25,3.142857143,UPW,09-08-16
92,0,56124I70373,469,6528.733333,6533,428.26,460.26,2,0,1539,3,5,4617,1539,44.4,3,5,4617,1539,44.4,0,0,0,0,3,18,6,0,3,18,6,0,22,22,UPW,16-07-16
93,1,13355I88659,610,15145,15750.04,600.35,1080.35,5,0,4917,2,7,10704,5352,13.2,8,7,20708,1539,11.2,0,0,0,0,2,12,6,0,9,54,6,0,8,3.666666667,UPW,05-08-16
94,1,01538I88532,105,7540,7970.8,899.1,556.2,19,0,2309,2,5,4618,2309,16,7,7,32466,2309,16.5,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,03-08-16
95,1,20498I89232,1587,3374.881333,3392.76,3752.81,3838.94,1,0,1539,4,5,4618,1154.5,29.5,10,1,9430,773,27,0,0,0,0,3,18,6,0,4,24,6,0,5.333333333,4.8,UPW,11-07-16
96,1,55707I95201,175,4020,5239.7,399.25,960.81,7,0,770,3,11,3079,770,20,7,3,8570,770,18,0,0,0,0,1,6,6,0,2,12,6,0,0,0,UPW,12-08-16
97,0,46737I90844,799,-0.9,-0.9,140.94,140.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,27-06-16
98,1,98423I90582,1283,13776.053,13813.51,2069.15,3569.39,2,0,773,10,2,10016,773,74.37,13,2,13272,773,59.87,0,0,0,0,11,66,6,0,12,72,6,0,2.8,4.181818182,UPW,21-07-16
99,1,86227I70376,693,2600,2600,1243.61,1243.61,8,0,1539,1,0,1539,1539,89,1,0,1539,1539,89,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,22-07-16
100,1,69691I90585,491,2522.173333,2541.8,11339.95,14729.55,13,0,1539,1,0,1539,1539,0.93,5,45,10496,1539,7.93,0,0,0,0,1,6,6,0,4,24,6,0,0,9,UPW,16-07-16
101,1,28398I85339,1133,12.42033333,12.42033333,21,21,11,0,1547,1,0,1547,1547,293.5,1,0,1547,1547,293.5,0,0,0,0,2,12,6,0.5,2,12,6,0.5,0,0,UPW,07-06-16
102,1,12934I88689,1100,24.324,24.324,140.48,140.48,9,0,2593,1,0,2593,2593,0.5,4,0,3112,173,13,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,04-06-16
103,1,04175I89235,797,182.55,182.55,3395.1,3395.1,7,0,4917,4,5,13682,3613,6.5,4,5,13682,3613,6.5,0,0,0,0,5,30,6,0,5,30,6,0,3.6,3.6,UPW,30-06-16
104,1,86231I84450,274,105.7943333,105.7943333,730.84,730.84,1,0,2309,4,10,8647,2309,125,5,35,10967,2309,103,0,0,0,0,4,24,6,0,4,24,6,0,2,2,UPW,11-06-16
105,0,88380I82732,1102,23.133,77.11,14351.27,19634.66,33,0,5787,0,0,0,0,0,2,0,7711,3855.5,1250,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,21-07-16
106,1,89125I95203,175,37.7,37.7,2086.84,2086.84,6,0,1539,2,20,3848,1924,26.5,3,40,4621,1539,31,0,0,0,0,3,18,6,0,3,18,6,0,4.5,4.5,UPW,29-06-16
107,0,15429I84458,72,13.59,13.59,0,0,64,0,773,0,0,0,0,0,1,0,773,773,20,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,27-06-16
108,1,96231I90585,1835,15420,17321.8,9891.83,20974.34,1,0,8000,3,7,14456,4917,351,9,7,36242,4048,204,0,0,0,0,2,12,6,0,7,42,6,0,2,3,UPW,05-08-16
109,1,24572I90584,1545,8970,11056.94,4548.22,6632.02,4,0,770,8,0,6160,770,40.8,9,0,8084,770,20.8,0,0,0,0,5,30,6,0,6,36,6,0,5.4,5.4,UPW,08-08-16
110,0,49181I90584,136,-0.4,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,24-06-16
111,1,69061I70786,545,2037.037333,2070.18,17362.9,17815.66,27,0,1539,1,0,1539,1539,385,3,2,4617,1539,337,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,28-07-16
112,1,94468I82738,310,15596.376,15760.44,2348.86,1175.08,3,0,1547,5,2,6950,1547,26,10,32,11157,1243,24,0,0,0,0,5,30,6,1,9,54,6,0,4.833333333,5.111111111,UPW,18-07-16
113,1,18809I88648,131,948.8166667,950.5,1969.49,2015.51,1,0,1539,3,5,4617,1539,21,5,1,6937,1539,23,30721.46377,0,0,0,1,6,6,0,2,12,6,0,0,1,UPW,01-07-16
114,1,25548I84451,1995,15.918,15.918,369.9,369.9,1,0,1539,2,7,3086,1543,41.08,3,33,12486,1547,36.08,0,0,0,0,2,12,6,0,2,12,6,0,4.666666667,4.666666667,UPW,06-06-16
115,1,48229I88690,1443,30376,37204.42,7199.75,11131.96,2,0,770,9,1,25235,1539,13.8,19,4,44111,1539,10.8,0,723845.0919,0,0,6,36,6,0,13,78,6,0,2.375,2.714285714,UPW,09-08-16
116,1,12747I89236,1282,6535.186,6583.93,749.43,1751.91,13,0,770,4,3,3849,770,76.3,10,0,10019,773,25.8,0,0,0,0,3,18,6,0,6,36,6,0,3,5,UPW,24-07-16
117,1,73365I70375,157,63.72,63.72,-177.48,-177.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,6,0,2,12,6,0,0,0,UPW,18-06-16
118,1,41894I84454,1140,23.83333333,23.83333333,-40.2,-40.2,6,0,1547,1,0,1547,1547,24.14,2,34,2494,1247,52.14,0,0,0,0,2,12,6,0,2,12,6,0,5,5,UPW,05-06-16
119,1,23241I82735,1454,19.57866667,19.57866667,148.88,148.88,1,0,770,4,5,3089,773,16.2,4,5,3089,773,16.2,0,0,0,0,5,30,61907.69737,0,5,30,6,0,3.5,3.5,UPW,08-06-16
120,1,36283I90581,624,9837,14591.89,4413.43,11014.33,11,0,3178,1,0,3178,3178,4,2,37,4717,2358.5,3,0,0,0,0,1,12,12,1,2,18,12,0.5,19.5,30.66666667,UPW,12-08-16
121,1,58963I88698,246,7892,10312.26,2316.2,5220.25,2,0,770,4,1,3849,770,199.5,12,1,13860,1156,143.5,0,0,0,0,2,24,12,0,5,48,12,0,0,7.5,UPW,13-08-16
122,1,21241I88689,1162,56.66666667,56.66666667,398.14,398.14,1,0,1539,8,1,7104,770,64.17,9,1,8051,770,59.17,91764.39171,0,0,0,6,36,6,0,2340.28012,36,6,0,5.5,5.5,UPW,17-06-16
123,1,86850I90849,71,19.12033333,19.12033333,1889.17,1889.17,20,0,1547,1,0,1547,1547,37,1,0,1547,1547,37,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,19-06-16
124,1,20028I70373,365,8502,14395.88,999.65,2058.98,2,0,1539,5,15,7696,1539,14,9,22,15400,1539,15,0,0,0,0,3,18,6,0,6,36,6,0,7,6,UPW,07-08-16
125,1,34684I84454,233,11394,12219.42,6675.38,9197.12,3,69,1924,4,10,6542,1924,79.5,4,10,6542,1924,79.5,0,0,1,0,3,30,12,0,3,30,12,0,5.666666667,5.666666667,UPW,07-08-16
126,1,70901I82730,811,166.7966667,166.7966667,-44.88,-44.88,4,0,2309,9,0,24442,1547,327.6,10,0,25989,1547,326.6,0,0,0,0,4,24,22099.41373,0.5,4,24,6,0.5,2.333333333,2.333333333,UPW,22-06-16
127,1,30030I70371,827,5461,6014.77,300.26,717.56,24,46,3178,1,0,3178,3178,77,1,0,3178,3178,77,0,0,1,0,1,6,6,0,2,12,6,0,0,12.5,UPW,07-08-16
128,1,56589I70788,111,1820,2221.4,1068.68,1520.18,24,0,770,1,0,770,770,23,3,4,2310,770,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UPW,05-08-16
129,1,86293I88658,123,7636.942,7647.57,54,90,24,0,7526,1,0,7526,7526,24,2,23,10719,5359.5,47,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,12-07-16
130,1,43431I90847,347,47.46666667,47.46666667,186.8,186.8,-13,0,770,3,35,5607,770,391,4,34,6380,771.5,213,0,0,0,0,1,6,6,0,1,6,6,0,0,0,UPW,20-06-16
